Student ID & Name,Student Athletic Team 1,Applied To Year Semester,Student Domestic/International Status,Student World Region of Citizenship,Student Gender,Student Degree Level,Enrollment College,Primary College Degree Program,Primary Enrollment HEGIS,Class Year Category,Applicant Group,Average Undergraduate Applicant High School GPA,Average ACT Highest Composite Score (Applicants Wanting Test Scores Considered),Average SAT Highest Composite Score (Applicants Wanting Test Scores Considered),Semester 1 GPI,Semester 1 Cum GPA,Semester 2 GPI,Semester 2 Cum GPA,Semester 3 GPI,Semester 3 Cum GPA,Semester 4 GPI,Semester 4 Cum GPA,Semester 5 GPI,Semester 5 Cum GPA,Semester 6 GPI,Semester 6 Cum GPA,Semester 7 GPI,Semester 7 Cum GPA,Semester 8 GPI,Semester 8 Cum GPA,Semester 9 GPI,Semester 9 Cum GPA,Semester 10 GPI,Semester 10 Cum GPA,Semester 11 GPI,Semester 11 Cum GPA,Semester 12 GPI,Semester 12 Cum GPA
193,Cricket,"Fall, 2020",International,Sourdough,Female,UNDERGRAD,CAS,Bachelor of Arts,401,Undergrad Senior,Freshman,3.9,,1260.0,3.78,3.78,3.85,3.81,3.23,3.66,3.33,3.59,3.85,3.68,3.57,3.67,3.93,3.7,3.67,3.7,,,,,,,,
196,Frisbee,"Fall, 2023",International,Sourdough,Male,UNDERGRAD,CAS,Bachelor of Arts,1701,Undergrad Freshman,Freshman,3.6,,,3.85,3.85,3.68,3.76,,,,,,,,,,,,,,,,,,,,
198,Kickball,"Fall, 2023",International,Baguette ,Female,UNDERGRAD,COM,Bachelor of Science,635,Undergrad Junior,Transfer,3.2,,,3.0,3.0,3.5,3.25,,,,,,,,,,,,,,,,,,,,
206,Bowling,"Fall, 2022",International,Ciabatta ,Female,UNDERGRAD,CAS,Bachelor of Arts,1929,Undergrad Sophomore,Freshman,3.6,,1280.0,3.23,3.23,3.68,3.45,3.18,3.36,3.85,3.48,,,,,,,,,,,,,,,,
223,Cricket,Unknown,International,Sourdough,Female,UNDERGRAD,SAR,Bachelor of Science,5561,Undergrad Sophomore,,,,,2.23,2.23,3.68,2.95,2.9,2.86,3.28,2.96,,,,,,,,,,,,,,,,
225,Handball,"Fall, 2023",International,Sourdough,Female,UNDERGRAD,CAS,Bachelor of Arts,11,Undergrad Freshman,Freshman,3.9,,,2.67,2.67,3.13,2.9,,,,,,,,,,,,,,,,,,,,
228,Water Polo,"Fall, 2023",International,Cornbread ,Male,UNDERGRAD,CAS,Bachelor of Arts,11,Undergrad Freshman,Freshman,3.1,,,3.25,3.25,3.34,3.29,,,,,,,,,,,,,,,,,,,,
233,Kickball,"Fall, 2023",International,Baguette ,Female,UNDERGRAD,SHA,Bachelor of Science,518,Undergrad Freshman,Freshman,4.0,,,3.8,3.8,4.0,3.9,,,,,,,,,,,,,,,,,,,,
237,Rollerblading,"Fall, 2022",International,Wheat,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Sophomore,Freshman,3.5,,,3.33,3.33,3.25,3.29,2.65,3.08,3.1,3.08,,,,,,,,,,,,,,,,
246,Frisbee,"Fall, 2023",International,Ciabatta ,Male,UNDERGRAD,ENG,Bachelor of Science,910,Undergrad Freshman,Freshman,3.7,,,4.0,4.0,3.93,3.96,,,,,,,,,,,,,,,,,,,,
256,Rollerblading,"Fall, 2022",International,Sourdough,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Junior,Transfer,3.8,,,3.37,3.37,3.4,3.39,3.2,3.33,3.0,3.24,,,,,,,,,,,,,,,,
257,Skiing,"Fall, 2023",International,Ciabatta ,Female,UNDERGRAD,SAR,Bachelor of Science,5558,Undergrad Freshman,Freshman,3.2,,,3.33,3.33,,,,,,,,,,,,,,,,,,,,,,
264,Pickeball,"Fall, 2023",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,11,Undergrad Sophomore,Transfer,3.5,,,3.75,3.8,3.43,3.63,,,,,,,,,,,,,,,,,,,,
267,Volleyball,"Fall, 2020",International,Wheat,Male,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Senior,Freshman,3.8,,1460.0,3.93,3.93,3.93,3.93,3.94,3.93,3.77,3.9,3.93,3.91,3.43,3.83,4.0,3.86,3.67,3.84,,,,,,,,
